date,rent_index,rent_to_income,rent_growth,rent_growth_yoy
2015-01-31,1751.171680068968,0.21413202250782196,,
2015-02-28,1760.9082654869658,0.2153226052197317,0.00556004047393821,
2015-03-31,1773.0086993200557,0.21680223762778866,0.006871700286865012,
2015-04-30,1777.8456524932087,0.2173936968076802,0.002728104591369407,
2015-05-31,1786.3529641159157,0.21843396479773974,0.004785180091858132,
2015-06-30,1793.6141287060866,0.21932185481854813,0.004064798355102539,
2015-07-31,1810.512178800425,0.22138813631699988,0.009421229362487571,
2015-08-31,1819.8528639384272,0.2225303086253885,0.005159139633178711,
2015-09-30,1830.8252086110372,0.2238719990964829,0.006029248237609863,
2015-10-31,1841.613810452017,0.22519122162533836,0.005892753601073997,
2015-11-30,1854.1717930381003,0.22672680276817073,0.006819009780884011,
2015-12-31,1870.7960189795424,0.22875960124474717,0.008965849876403809,
2016-01-31,1881.4352328850484,0.23006055672353246,0.00568699836730957,0.07438651178446998
2016-02-29,1898.161926610408,0.23210588488755296,0.008890390396118164,0.07794481053530955
2016-03-31,1901.400651277906,0.2325019138270856,0.00170624256134011,0.07241473321991498
2016-04-30,1915.0025685069077,0.23416514655256881,0.007153630256653054,0.07714781979040386
2016-05-31,1923.9954426740148,0.23526478878381205,0.004696011543273704,0.07705222949945933
2016-06-30,1942.086065163576,0.2374768971831225,0.009402632713317871,0.08277808146203491
2016-07-31,1954.6392552310224,0.2390118923001984,0.006463766098022683,0.0796056928631601
2016-08-31,1965.382001610776,0.24032550765600097,0.005496025085449219,0.07996752954928588
2016-09-30,1971.889456136573,0.2411212345483704,0.0033110380172729492,0.07704954403187125
2016-10-31,1978.198198805654,0.2418926630968029,0.003199338912963867,0.07416559735730521
2016-11-30,1987.5126014403256,0.24303162159945288,0.004708528518676758,0.07191394503081261
2016-12-31,1990.010317133368,0.24333704049075178,0.001256704330444114,0.06372383570649953
2017-01-31,2006.575454093492,0.24536261360888872,0.008324146270752175,0.06651316985094935
2017-02-28,2018.746313153747,0.246850857563432,0.006065487861633079,0.06352692299474638
2017-03-31,2045.06247497491,0.2500687790382624,0.013035893440246582,0.07555578757188841
2017-04-30,2058.771055472451,0.25174505447205314,0.0067032575607299805,0.07507482722471592
2017-05-31,2071.0314885320454,0.25324425147126994,0.005955219268798606,0.07642224227604011
2017-06-30,2083.9295638808258,0.2548214189142609,0.006227850914001687,0.0730366698271443
2017-07-31,2092.5044069008445,0.25586994459535883,0.004114747047424316,0.07053227407608142
2017-08-31,2107.1980213942734,0.2576666692827431,0.0070220232009887695,0.07215697491239292
2017-09-30,2118.060558306137,0.2589949325392684,0.005154967308044434,0.07412743230340602
2017-10-31,2129.9403301667726,0.2604475825589108,0.005608797073364258,0.07670724371942783
2017-11-30,2133.1591304212993,0.2608411751554536,0.001511216163635254,0.0732808078174827
2017-12-31,2138.9458079215315,0.26154876594785176,0.002712726593017578,0.07484156715464008
2018-01-31,2138.8852496466207,0.261541360925241,-2.831220626842157e-05,0.06593811126474791
2018-02-28,2143.5826539065692,0.26211575616367927,0.002196192741394043,0.06183854798367361
2018-03-31,2149.3015264292135,0.2628150558118383,0.0026679039001467064,0.050971084125722044
2018-04-30,2160.6475709094016,0.26420244202854015,0.005278944969177024,0.04948414014572
2018-05-31,2173.999961446179,0.26583516280828795,0.006179809570312056,0.0497184487460971
2018-06-30,2179.061893920193,0.2664541322964286,0.0023283958435063035,0.0456504536852993
2018-07-31,2183.2137086492307,0.26696181323663865,0.0019053220748899147,0.04334963474831266
2018-08-31,2181.178220232637,0.2667129151666223,-0.0009323358535765491,0.03510832778279327
2018-09-30,2191.1802828630152,0.2679359602424817,0.004585623741149902,0.03452201792348841
2018-10-31,2196.9336732837305,0.26863948071456717,0.0026257038116452858,0.031453154892706614
2018-11-30,2207.8033593122077,0.2699686181599667,0.004947662353515847,0.03499233968361559
2018-12-31,2217.847768039471,0.2711968412863134,0.004549503326415794,0.03688824645567368
2019-01-31,2227.889226435207,0.2724247036482278,0.004527568817138672,0.041612319690030874
2019-02-28,2239.7967340297,0.2738807451735999,0.005344748497009277,0.04488470736026229
2019-03-31,2242.754877742735,0.2742424648743868,0.0013207197189331055,0.04348080069937055
2019-04-30,2245.872797591205,0.27462372188691675,0.001390218734741211,0.03944429801012528
2019-05-31,2249.178714056089,0.2750279669914513,0.0014719963073730469,0.034580843580098275
2019-06-30,2256.698223495045,0.27594744723588227,0.00334322452545166,0.03562832693805773
2019-07-31,2268.147150777796,0.27734741388821177,0.0050733089447021484,0.03890294467833577
2019-08-31,2282.0362468997214,0.2790457626436441,0.006123542785644531,0.046240158521446695
2019-09-30,2289.394654688283,0.27994554349330925,0.003224492073059082,0.044822588352675385
2019-10-31,2299.5206982312525,0.2811837488666242,0.004423022270202859,0.04669554943558518
